device_instance,device_address,object_type,object_instance,object_name,description,present_value,units,site_id,building_id,system_id,brick_class,brick_tag,enabled,poll_interval_s,point_id,series_id
5007,2000:7@192.168.204.200,device,5007,BENS BENCHTEST BOX,"CTRL 6UI, 2BI, 3BO, 2AO, 4CO",,,demo,bens-office,unknown,,,0,,5007-device-5007,demo#bens-office#unknown#5007-device-5007
5007,2000:7@192.168.204.200,,1168,OA-H,4-20MA HUMIDITY INPUT,40.16732406616211,percent-relative-humidity,demo,bens-office,unknown,,,0,,5007-unknown-1168,demo#bens-office#unknown#5007-unknown-1168
5007,2000:7@192.168.204.200,,1173,OA-T,4-20MA TEMP INPUT,73.95838165283203,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-unknown-1173,demo#bens-office#unknown#5007-unknown-1173
5007,2000:7@192.168.204.200,,1179,SSPLATE-T,SS WA;LPLATE TEMP,72.51499938964844,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-unknown-1179,demo#bens-office#unknown#5007-unknown-1179
5007,2000:7@192.168.204.200,,1192,DUCT-T,DUCT PROBE SENSOR,65.71198272705078,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-unknown-1192,demo#bens-office#unknown#5007-unknown-1192
5007,2000:7@192.168.204.200,,9334,DUCT-P,DUCT INWC SENSOR,-0.13645219802856445,inches-of-water,demo,bens-office,unknown,,,0,,5007-unknown-9334,demo#bens-office#unknown#5007-unknown-9334
5007,2000:7@192.168.204.200,,10014,STAT ZN-T,Zone Temperature,75.38003540039062,degrees-fahrenheit,demo,bens-office,unknown,,,0,,5007-unknown-10014,demo#bens-office#unknown#5007-unknown-10014
5007,2000:7@192.168.204.200,,10044,ACTUATOR-POS,ACTUATOR POSTION,0.5746455788612366,percent,demo,bens-office,unknown,,,0,,5007-unknown-10044,demo#bens-office#unknown#5007-unknown-10044
5007,2000:7@192.168.204.200,analog-output,2466,ACTUATOR-0,ACTUATOR OUTPUT,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-output-2466,demo#bens-office#unknown#5007-analog-output-2466
5007,2000:7@192.168.204.200,analog-output,10032,C06-0-10VDC-O,C06 0-10V OUTPUT,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-output-10032,demo#bens-office#unknown#5007-analog-output-10032
5007,2000:7@192.168.204.200,analog-output,10035,C07-0-10VDC-O,C07 0-10V OUTPUT,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-output-10035,demo#bens-office#unknown#5007-analog-output-10035
5007,2000:7@192.168.204.200,analog-output,10038,AO9-4-20MA-O,AO9 4-20MA OUTPUT,0.0,percent,demo,bens-office,unknown,,,0,,5007-analog-output-10038,demo#bens-office#unknown#5007-analog-output-10038
5007,2000:7@192.168.204.200,analog-value,10007,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10007,demo#bens-office#unknown#5007-analog-value-10007
5007,2000:7@192.168.204.200,analog-value,10010,Priority,,16.0,no-units,demo,bens-office,unknown,,,0,,5007-analog-value-10010,demo#bens-office#unknown#5007-analog-value-10010
