month,billing_period,kwh,cost_usd,demand_kw,billed_demand_kw,days,account
2026-05,202605,31398.0,4736.68,128.1,286.98,31.0,CS 351075
2026-04,202604,42296.0,5201.86,165.42,286.98,30.0,CS 351075
2026-03,202603,51938.0,6395.68,218.94,286.98,30.0,CS 351075
2026-02,202602,67205.0,7774.96,240.72,286.98,29.0,CS 351075
2026-01,202601,81491.0,8269.37,284.82,284.82,31.0,CS 351075
2025-12,202512,67328.0,6683.62,232.38,299.4,31.0,CS 351075
2025-11,202511,42097.0,5086.0,166.98,299.4,30.0,CS 351075
2025-10,202510,32552.0,4390.17,131.04,299.4,31.0,CS 351075
2025-09,202509,31350.0,4781.2,133.74,299.4,30.0,CS 351075
2025-08,202508,32789.0,5342.35,136.98,299.4,31.0,CS 351075
2025-07,202507,33538.0,5353.53,160.14,299.4,31.0,CS 351075
2025-06,202506,33955.0,5482.07,164.64,299.4,30.0,CS 351075
2025-05,202505,38307.0,5220.29,152.4,299.4,31.0,CS 351075
2025-04,202504,48953.0,5500.89,181.14,299.4,30.0,CS 351075
2025-03,202503,55885.0,6167.3,212.52,299.4,31.0,CS 351075
2025-02,202502,76931.0,7412.63,260.82,299.4,28.0,CS 351075
2025-01,202501,82032.0,7670.2,299.4,299.4,31.0,CS 351075
2024-12,202412,62273.0,7441.83,280.92,285.54,31.0,CS 351075
2024-11,202411,39467.0,5173.84,170.04,285.54,30.0,CS 351075
2024-10,202410,37354.0,4530.71,134.1,285.54,31.0,CS 351075
2024-09,202409,36621.0,5049.5,170.76,285.54,30.0,CS 351075
2024-08,202408,28307.0,4984.01,152.82,285.54,31.0,CS 351075
2024-07,202407,31082.0,5158.83,166.02,285.54,31.0,CS 351075
2024-06,202406,31678.0,5184.72,161.4,285.54,30.0,E1075
