trial_id,status,jan26_peak_kw,overnight_0_4_sim_kw,gl14_pass,nmbe_pct,cvrmse_pct,overnight_ok,peak_near_285
E01_eq125_li110,ok_gl14_fail,274.8,128.3,False,-13.6,20.1,True,False
E02_eq140_li115,ok_gl14_fail,282.6,129.5,False,-18.8,24.0,True,True
E03_cap155_eq150_li120,ok_gl14_fail,293.3,132.7,False,-23.9,27.9,True,True
E04_cap155_cop118_eq135_li115,ok_gl14_fail,292.7,136.6,False,-20.4,24.4,True,True
E05_cap160_cop120_eq140_opt40,ok_gl14_fail,289.6,151.9,False,-21.6,25.2,False,True
E06_cap150_cop115_eq130_li120_opt40,ok_gl14_fail,292.9,153.6,False,-22.2,25.5,False,True
E07_cap165_cop122_eq145_li115,ok_gl14_fail,294.2,136.2,False,-22.9,26.6,True,True
E08_cap155_cop128_eq120_li125,ok_gl14_fail,280.1,128.1,False,-16.5,22.5,True,True
E09_cap150_cop130_eq155_opt40,ok_gl14_fail,280.3,140.8,False,-21.5,26.5,False,True
E10_cap170_cop120_eq135_li115,ok_gl14_fail,294.1,138.5,False,-21.5,25.1,True,True
E16_peakplant_eq090_li110,ok_gl14_fail,287.6,163.1,False,-13.5,17.5,False,True
E17_peakplant_eq080_li105,ok_gl14_fail,292.9,166.4,False,-11.0,15.4,False,True
E18_peakplant_eq070_li100,ok_gl14_fail,304.2,189.2,False,-10.5,14.8,False,False
E19_peakplant_eq085_li120_cop115,ok_gl14_fail,282.2,155.9,False,-12.6,17.4,False,True
E20_peakplant_eq075_li110_cop120,ok_dual_candidate,270.8,134.7,True,-4.9,13.5,True,False
E21_cap175_cop115_eq075_li110,ok_gl14_fail,278.1,140.4,False,-7.1,13.8,False,True
E22_cap180_cop118_eq070_li115_opt40,ok_gl14_fail,275.4,156.5,False,-8.1,14.3,False,True
E23_cap170_cop110_eq070_li110,ok_gl14_fail,283.3,143.8,False,-7.1,13.4,False,True
E24_cap185_cop120_eq080_li105,ok_gl14_fail,276.4,138.3,False,-6.5,13.8,True,True
E25_cap175_cop122_eq065_li115_opt40,ok_gl14_high_overnight,265.4,150.5,True,-5.0,13.4,False,False
