day,panel,arm,step,mean_heating_f,zone_spread_f,school_start,school_end,recovery_begin_step,post_occupancy_extension_minutes
2025-12-15,incumbent (PRIMARY eval),incumbent,0,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,1,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,2,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,3,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,4,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,5,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,6,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,7,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,8,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,9,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,10,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,11,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,12,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,13,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,14,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,15,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,16,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,17,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,18,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,19,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,20,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,21,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,22,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,23,64.0,4.0,30,59,26,0
2025-12-15,incumbent (PRIMARY eval),incumbent,24,64.0,4.0,30,59,26,0
