action_index,peak_kw_max,total_cost,eligible
0,194.53853725812007,8008.771900511831,True
1,202.18976317677604,8363.89082249954,True
2,258.91329510953483,7844.925188609851,False
3,257.75930085939103,7847.552876314307,False
4,256.5529239865456,7849.278987621456,False
5,255.22613798238572,7851.759678540234,False
6,253.7221982360736,7807.797288997982,False
7,252.6583993197131,7809.401459014705,False
8,251.60234518596872,7811.920330177809,False
9,250.4485578274634,7814.541852603134,False
10,248.5243321294491,7857.120508154241,False
11,247.60251819409348,7858.958254532615,False
12,246.6468848638213,7861.255858627974,False
13,245.59159635704896,7863.620486554949,False
14,242.70120282466502,7657.912111667301,True
15,241.5774114467252,7660.193466298854,True
16,240.49822495114915,7664.679509740925,True
17,239.27561903880735,7668.3553755616085,True
18,237.67434763119977,7623.333171569228,True
19,236.66317120004942,7625.056405215838,True
20,235.66337135264257,7629.0749455701825,True
21,234.55492870525583,7631.306779106058,True
22,232.65021007140786,7672.792506315795,True
23,231.7708159829937,7674.992788150239,True
24,230.86746379914274,7678.659113967493,True
25,229.87396332989795,7681.609092464289,True
26,230.64685026888188,7523.053102032057,True
27,229.5720795946607,7525.856703784797,True
28,228.5464723303035,7531.734864841725,True
29,227.37882246274964,7535.295572082892,True
30,226.67362574314143,7499.375062783948,True
31,225.72819443337187,7502.62707604553,True
32,224.7768154357865,7507.2270197513735,True
33,223.71885425181435,7510.062458865686,True
34,222.7273507160682,7561.372044969466,True
35,221.88188112309427,7564.058499743432,True
36,221.0156871355145,7568.14808437594,True
37,220.06050358206008,7571.61976254918,True
38,224.19510448350596,7454.617176468777,True
39,223.15189393682152,7457.4405067870575,True
40,222.16275942853844,7463.6587434399935,True
41,221.0298871681286,7467.634512176304,True
42,220.7992651884273,7436.732132340096,True
43,219.88179038027437,7440.421597668478,True
44,218.95983875082814,7444.38624746304,True
45,217.93086616590784,7448.417479927337,True
46,217.43573078726394,7505.276507152228,True
47,216.61069580891854,7508.203067722144,True
48,215.76806678823968,7512.543367294385,True
49,214.83594871677047,7516.264065715825,True
50,236.40563538908916,7938.375561636569,False
51,235.76019930173115,7940.29819064937,False
52,235.06068628517644,7943.114636416625,False
53,234.3158533323597,7945.9866082285425,False
54,230.09898974036304,7977.659323075943,False
55,229.55781005753548,7980.392633808193,False
56,228.96849867526285,7982.984725928522,False
57,228.3420911011998,7985.397326404918,False
58,223.47451444561156,8012.627939333416,False
59,223.03339241666308,8014.661863781743,False
60,222.5540257733306,8017.071659839986,False
61,222.0411372618496,8019.2262331098345,False
62,222.74396452546313,7779.605942404298,True
63,222.0989160489242,7782.4270824721025,True
64,221.40377889181548,7785.297319506262,True
65,220.66439273944854,7788.213308722283,True
66,217.7268330783055,7834.455977770125,True
67,217.18818818533873,7837.167066422604,True
68,216.60373465381744,7839.774204944288,True
69,215.98361038374236,7842.268353020482,True
70,212.48469651964194,7887.538887292201,True
71,212.04692317036904,7890.104097393671,True
72,211.57118750287458,7892.544366937471,True
73,211.06339019422472,7894.751403698611,True
74,214.73535456100848,7689.35401278352,True
75,214.10802638287666,7692.337781713765,True
76,213.43315548255362,7695.443298817614,True
77,212.7136863926825,7698.580987681902,True
78,210.67272807309237,7754.725756343989,True
79,210.14656447480468,7757.563246522388,True
80,209.5759764237068,7760.320224660904,True
81,208.97079268788613,7762.979358777043,True
82,207.1731184569873,7828.32956638124,True
83,206.75998976898057,7830.739372200837,True
84,206.31159530451322,7833.445737664487,True
85,205.83324883639207,7836.046652991345,True
86,212.29511936857008,7665.8421542943925,True
87,211.69692859913553,7669.115689225666,True
88,211.05464503639516,7672.618593831113,True
89,210.3698257788392,7676.188349167163,True
90,210.68345103809227,7760.322487330031,True
91,210.1801349111515,7763.410991256471,True
92,209.63492474226678,7766.457828796628,True
93,209.05648069506285,7769.421560345751,True
94,209.0490683789856,7855.407446804709,True
95,208.63683871836744,7857.8173036335065,True
96,208.18941821360605,7860.521218945698,True
97,207.7122208529976,7863.127494880221,True
102,216.5107283647628,8048.46357772544,False
103,216.171388914998,8050.135358672832,False
104,215.80246164215117,8052.558108517636,False
105,215.4067809191729,8054.9167512510085,False
106,209.582181443863,8084.884747349319,False
107,209.3333738804006,8087.257757969058,False
108,209.06206186818127,8089.361482616383,False
109,208.77105722029876,8090.900163847486,False
114,207.25165273103028,7943.018551967893,True
115,206.90936350824262,7944.701991677381,True
116,206.53737483545032,7947.076525921677,True
117,206.138577079368,7949.391459918746,True
118,201.96094589354237,7997.891600203802,True
119,201.71034358835206,8000.236318183549,True
120,201.43698865517788,8002.308588939937,True
121,201.1439360086824,8003.820063798239,True
126,205.85560153576782,7930.08885539707,True
127,205.53059005550816,7932.006249561968,True
128,205.17728905044765,7934.558474831469,True
129,204.79878801041005,7937.110915190948,True
130,204.56206556741648,8031.977240253129,True
131,204.32205622113784,8034.440886070947,True
132,204.06026135741445,8036.647564690185,True
133,203.77963812962565,8038.306351948744,True
138,207.38557785365433,7951.754489743868,True
139,207.06096154334247,7953.569895461766,True
140,206.70798093695345,7956.176876339391,True
141,206.32986287443998,7958.7384788711715,True
142,205.70451980616232,8048.153351551764,True
143,205.46462931865278,8050.612545416492,True
144,205.20276368394283,8052.813764732975,True
145,204.92215847206518,8054.469321524146,True
