action_index,recovery_lead_minutes,unoccupied_heating_f,extension,total_cost,eligible
0,0,68.0,0,8008.771900511831,True
1,0,70.0,0,8363.89082249954,True
2,0,60.0,0,7844.925188609851,False
3,0,60.0,60,7847.552876314307,False
4,0,60.0,120,7849.278987621456,False
5,0,60.0,180,7851.759678540234,False
6,0,60.0,0,7807.797288997982,False
7,0,60.0,60,7809.401459014705,False
8,0,60.0,120,7811.920330177809,False
9,0,60.0,180,7814.541852603134,False
10,0,60.0,0,7857.120508154241,False
11,0,60.0,60,7858.958254532615,False
12,0,60.0,120,7861.255858627974,False
13,0,60.0,180,7863.620486554949,False
14,60,60.0,0,7657.912111667301,True
15,60,60.0,60,7660.193466298854,True
16,60,60.0,120,7664.679509740925,True
17,60,60.0,180,7668.3553755616085,True
18,60,60.0,0,7623.333171569228,True
19,60,60.0,60,7625.056405215838,True
20,60,60.0,120,7629.0749455701825,True
21,60,60.0,180,7631.306779106058,True
22,60,60.0,0,7672.792506315795,True
23,60,60.0,60,7674.992788150239,True
24,60,60.0,120,7678.659113967493,True
25,60,60.0,180,7681.609092464289,True
26,120,60.0,0,7523.053102032057,True
27,120,60.0,60,7525.856703784797,True
28,120,60.0,120,7531.734864841725,True
29,120,60.0,180,7535.295572082892,True
30,120,60.0,0,7499.375062783948,True
31,120,60.0,60,7502.62707604553,True
32,120,60.0,120,7507.2270197513735,True
33,120,60.0,180,7510.062458865686,True
34,120,60.0,0,7561.372044969466,True
35,120,60.0,60,7564.058499743432,True
36,120,60.0,120,7568.14808437594,True
37,120,60.0,180,7571.61976254918,True
38,180,60.0,0,7454.617176468777,True
39,180,60.0,60,7457.4405067870575,True
40,180,60.0,120,7463.6587434399935,True
41,180,60.0,180,7467.634512176304,True
42,180,60.0,0,7436.732132340096,True
43,180,60.0,60,7440.421597668478,True
44,180,60.0,120,7444.38624746304,True
45,180,60.0,180,7448.417479927337,True
46,180,60.0,0,7505.276507152228,True
47,180,60.0,60,7508.203067722144,True
48,180,60.0,120,7512.543367294385,True
49,180,60.0,180,7516.264065715825,True
50,0,64.0,0,7938.375561636569,False
51,0,64.0,60,7940.29819064937,False
52,0,64.0,120,7943.114636416625,False
53,0,64.0,180,7945.9866082285425,False
54,0,64.0,0,7977.659323075943,False
55,0,64.0,60,7980.392633808193,False
56,0,64.0,120,7982.984725928522,False
57,0,64.0,180,7985.397326404918,False
58,0,64.0,0,8012.627939333416,False
59,0,64.0,60,8014.661863781743,False
60,0,64.0,120,8017.071659839986,False
61,0,64.0,180,8019.2262331098345,False
62,60,64.0,0,7779.605942404298,True
63,60,64.0,60,7782.4270824721025,True
64,60,64.0,120,7785.297319506262,True
65,60,64.0,180,7788.213308722283,True
66,60,64.0,0,7834.455977770125,True
67,60,64.0,60,7837.167066422604,True
68,60,64.0,120,7839.774204944288,True
69,60,64.0,180,7842.268353020482,True
70,60,64.0,0,7887.538887292201,True
71,60,64.0,60,7890.104097393671,True
72,60,64.0,120,7892.544366937471,True
73,60,64.0,180,7894.751403698611,True
74,120,64.0,0,7689.35401278352,True
75,120,64.0,60,7692.337781713765,True
76,120,64.0,120,7695.443298817614,True
77,120,64.0,180,7698.580987681902,True
78,120,64.0,0,7754.725756343989,True
79,120,64.0,60,7757.563246522388,True
80,120,64.0,120,7760.320224660904,True
81,120,64.0,180,7762.979358777043,True
82,120,64.0,0,7828.32956638124,True
83,120,64.0,60,7830.739372200837,True
84,120,64.0,120,7833.445737664487,True
85,120,64.0,180,7836.046652991345,True
86,180,64.0,0,7665.8421542943925,True
87,180,64.0,60,7669.115689225666,True
88,180,64.0,120,7672.618593831113,True
89,180,64.0,180,7676.188349167163,True
90,180,64.0,0,7760.322487330031,True
91,180,64.0,60,7763.410991256471,True
92,180,64.0,120,7766.457828796628,True
93,180,64.0,180,7769.421560345751,True
94,180,64.0,0,7855.407446804709,True
95,180,64.0,60,7857.8173036335065,True
96,180,64.0,120,7860.521218945698,True
97,180,64.0,180,7863.127494880221,True
102,0,66.0,0,8048.46357772544,False
103,0,66.0,60,8050.135358672832,False
104,0,66.0,120,8052.558108517636,False
105,0,66.0,180,8054.9167512510085,False
106,0,66.0,0,8084.884747349319,False
107,0,66.0,60,8087.257757969058,False
108,0,66.0,120,8089.361482616383,False
109,0,66.0,180,8090.900163847486,False
114,60,66.0,0,7943.018551967893,True
115,60,66.0,60,7944.701991677381,True
116,60,66.0,120,7947.076525921677,True
117,60,66.0,180,7949.391459918746,True
118,60,66.0,0,7997.891600203802,True
119,60,66.0,60,8000.236318183549,True
120,60,66.0,120,8002.308588939937,True
121,60,66.0,180,8003.820063798239,True
126,120,66.0,0,7930.08885539707,True
127,120,66.0,60,7932.006249561968,True
128,120,66.0,120,7934.558474831469,True
129,120,66.0,180,7937.110915190948,True
130,120,66.0,0,8031.977240253129,True
131,120,66.0,60,8034.440886070947,True
132,120,66.0,120,8036.647564690185,True
133,120,66.0,180,8038.306351948744,True
138,180,66.0,0,7951.754489743868,True
139,180,66.0,60,7953.569895461766,True
140,180,66.0,120,7956.176876339391,True
141,180,66.0,180,7958.7384788711715,True
142,180,66.0,0,8048.153351551764,True
143,180,66.0,60,8050.612545416492,True
144,180,66.0,120,8052.813764732975,True
145,180,66.0,180,8054.469321524146,True
