hour,flat,tou,dynamic,facility_kw_mean
0,0.11,0.0825,0.06,126.4236887777355
1,0.11,0.0825,0.06,127.75543429418246
2,0.11,0.0825,0.05,131.71066782145112
3,0.11,0.0825,0.05,133.09785271562086
4,0.11,0.0825,0.05,135.6532268810363
5,0.11,0.0825,0.07,157.32080969122282
6,0.11,0.0825,0.09,185.97010947592608
7,0.11,0.0825,0.11,190.09607080123112
8,0.11,0.0825,0.12,195.62186542660874
9,0.11,0.0825,0.1,186.30994170358116
10,0.11,0.0825,0.09,176.17606805978033
11,0.11,0.0825,0.08,167.69021943818322
12,0.11,0.0825,0.08,162.9178482916796
13,0.11,0.0825,0.09,157.97868026184943
14,0.11,0.0825,0.11,152.31664071638758
15,0.11,0.0825,0.14,59.9133598149654
16,0.11,0.165,0.18,102.25867242845524
17,0.11,0.165,0.22,108.10655684444271
18,0.11,0.165,0.2,101.61293240863894
19,0.11,0.165,0.15,107.95907880056455
20,0.11,0.165,0.12,112.38178738955234
21,0.11,0.0825,0.1,115.39012357367625
22,0.11,0.0825,0.08,118.26858806983074
23,0.11,0.0825,0.07,120.6240336014304
