tariff_mode,candidate_id,action_index,total_cost,energy_cost,incremental_demand_cost,peak_kw_max,daily_kwh_sum,eligible,ready_checked_school_days,checked_school_days,unoccupied_heating_f,recovery_lead_minutes,post_occupancy_extension_minutes,setback_offset_f,continuous_conditioning
FLAT_PLUS_DEMAND,discrete_0,0,8008.771901,5674.309453,2334.462447,194.538537,51584.631395,True,5,5,68.0,0,0,0.0,True
FLAT_PLUS_DEMAND,discrete_1,1,8363.890822,5937.613664,2426.277158,202.189763,53978.30604,True,5,5,70.0,0,0,0.0,True
FLAT_PLUS_DEMAND,discrete_2,2,7844.925189,4737.965647,3106.959541,258.913295,43072.414975,False,0,5,60.0,0,0,-1.0,False
FLAT_PLUS_DEMAND,discrete_3,3,7847.552876,4754.441266,3093.11161,257.759301,43222.193327,False,0,5,60.0,0,60,-1.0,False
FLAT_PLUS_DEMAND,discrete_4,4,7849.278988,4770.6439,3078.635088,256.552924,43369.489998,False,0,5,60.0,0,120,-1.0,False
FLAT_PLUS_DEMAND,discrete_5,5,7851.759679,4789.046023,3062.713656,255.226138,43536.782025,False,0,5,60.0,0,180,-1.0,False
FLAT_PLUS_DEMAND,discrete_6,6,7807.797289,4763.13091,3044.666379,253.722198,43301.190092,False,0,5,60.0,0,0,0.0,False
FLAT_PLUS_DEMAND,discrete_7,7,7809.401459,4777.500667,3031.900792,252.658399,43431.824247,False,0,5,60.0,0,60,0.0,False
FLAT_PLUS_DEMAND,discrete_8,8,7811.92033,4792.692188,3019.228142,251.602345,43569.928981,False,0,5,60.0,0,120,0.0,False
FLAT_PLUS_DEMAND,discrete_9,9,7814.541853,4809.159159,3005.382694,250.448558,43719.628715,False,0,5,60.0,0,180,0.0,False
FLAT_PLUS_DEMAND,discrete_10,10,7857.120508,4874.828523,2982.291986,248.524332,44316.622933,False,0,5,60.0,0,0,1.0,False
FLAT_PLUS_DEMAND,discrete_11,11,7858.958255,4887.728036,2971.230218,247.602518,44433.891238,False,0,5,60.0,0,60,1.0,False
FLAT_PLUS_DEMAND,discrete_12,12,7861.255859,4901.49324,2959.762618,246.646885,44559.029457,False,0,5,60.0,0,120,1.0,False
