action_index,FLAT_PLUS_DEMAND_total_cost,FLAT_PLUS_DEMAND_peak_kw,FLAT_PLUS_DEMAND_eligible,ILLUSTRATIVE_TOU_PLUS_DEMAND_total_cost,ILLUSTRATIVE_TOU_PLUS_DEMAND_peak_kw,ILLUSTRATIVE_TOU_PLUS_DEMAND_eligible,ILLUSTRATIVE_DYNAMIC_HOURLY_total_cost,ILLUSTRATIVE_DYNAMIC_HOURLY_peak_kw,ILLUSTRATIVE_DYNAMIC_HOURLY_eligible
0,8008.7719,194.5385,True,7445.6936,194.5385,True,7578.7875,194.5385,True
1,8363.8908,202.1898,True,7779.5083,202.1898,True,7915.5653,202.1898,True
2,7844.9252,258.9133,False,7316.1456,258.9133,False,7457.6468,258.9133,False
3,7847.5529,257.7593,False,7304.5197,257.7593,False,7462.0891,257.7593,False
4,7849.279,256.5529,False,7316.8366,256.5529,False,7476.7838,256.5529,False
5,7851.7597,255.2261,False,7334.8751,255.2261,False,7512.7565,255.2261,False
6,7807.7973,253.7222,False,7280.6036,253.7222,False,7420.592,253.7222,False
7,7809.4015,252.6584,False,7268.9699,252.6584,False,7423.6451,252.6584,False
8,7811.9203,251.6023,False,7281.2695,251.6023,False,7438.216,251.6023,False
9,7814.5419,250.4486,False,7297.7934,250.4486,False,7470.844,250.4486,False
10,7857.1205,248.5243,False,7324.6179,248.5243,False,7464.0852,248.5243,False
11,7858.9583,247.6025,False,7314.6094,247.6025,False,7467.3347,247.6025,False
12,7861.2559,246.6469,False,7325.6967,246.6469,False,7480.6092,246.6469,False
13,7863.6205,245.5916,False,7340.7428,245.5916,False,7510.4019,245.5916,False
14,7657.9121,242.7012,True,7125.8343,242.7012,True,7269.8578,242.7012,True
15,7660.1935,241.5774,True,7113.4877,241.5774,True,7273.4097,241.5774,True
16,7664.6795,240.4982,True,7128.7517,240.4982,True,7291.4062,240.4982,True
17,7668.3554,239.2756,True,7147.9456,239.2756,True,7328.4602,239.2756,True
18,7623.3332,237.6743,True,7092.8839,237.6743,True,7235.7997,237.6743,True
19,7625.0564,236.6632,True,7081.4939,236.6632,True,7238.7455,236.6632,True
20,7629.0749,235.6634,True,7095.6785,235.6634,True,7255.5896,235.6634,True
21,7631.3068,234.5549,True,7111.3103,234.5549,True,7286.8192,234.5549,True
22,7672.7925,232.6502,True,7137.6118,232.6502,True,7279.3185,232.6502,True
23,7674.9928,231.7708,True,7127.4147,231.7708,True,7282.3729,231.7708,True
24,7678.6591,230.8675,True,7140.2196,230.8675,True,7297.4169,230.8675,True
25,7681.6091,229.874,True,7155.8124,229.874,True,7327.6756,229.874,True
26,7523.0531,230.6469,True,6987.4358,230.6469,True,7131.2234,230.6469,True
27,7525.8567,229.5721,True,6975.6245,229.5721,True,7135.2449,229.5721,True
28,7531.7349,228.5465,True,6992.5805,228.5465,True,7155.304,228.5465,True
29,7535.2956,227.3788,True,7011.2835,227.3788,True,7191.4685,227.3788,True
30,7499.3751,226.6736,True,6965.9352,226.6736,True,7108.4622,226.6736,True
31,7502.6271,225.7282,True,6955.9293,225.7282,True,7112.875,225.7282,True
32,7507.227,224.7768,True,6970.6175,224.7768,True,7130.2311,224.7768,True
33,7510.0625,223.7189,True,6986.8355,223.7189,True,7162.0307,223.7189,True
34,7561.372,222.7274,True,7023.4282,222.7274,True,7164.9683,222.7274,True
35,7564.0585,221.8819,True,7013.735,221.8819,True,7168.4636,221.8819,True
36,7568.1481,221.0157,True,7026.9363,221.0157,True,7183.8889,221.0157,True
37,7571.6198,220.0605,True,7042.9359,220.0605,True,7214.5284,220.0605,True
38,7454.6172,224.1951,True,6915.6373,224.1951,True,7057.044,224.1951,True
39,7457.4405,223.1519,True,6904.029,223.1519,True,7061.024,223.1519,True
40,7463.6587,222.1628,True,6921.2481,222.1628,True,7081.3359,222.1628,True
41,7467.6345,221.0299,True,6940.3823,221.0299,True,7117.9381,221.0299,True
42,7436.7321,220.7993,True,6900.4145,220.7993,True,7040.5712,220.7993,True
43,7440.4216,219.8818,True,6890.8365,219.8818,True,7045.4076,219.8818,True
44,7444.3862,218.9598,True,6904.3964,218.9598,True,7061.1662,218.9598,True
45,7448.4175,217.9309,True,6922.2232,217.9309,True,7095.0068,217.9309,True
46,7505.2765,217.4357,True,6964.6702,217.4357,True,7104.0684,217.4357,True
47,7508.2031,216.6107,True,6955.2106,216.6107,True,7107.7864,216.6107,True
48,7512.5434,215.7681,True,6968.6375,215.7681,True,7123.4028,215.7681,True
49,7516.2641,214.8359,True,6984.8493,214.8359,True,7154.2365,214.8359,True
50,7938.3756,236.4056,False,7394.7624,236.4056,False,7532.9121,236.4056,False
51,7940.2982,235.7602,False,7386.9956,235.7602,False,7535.706,235.7602,False
52,7943.1146,235.0607,False,7396.9571,235.0607,False,7547.4237,235.0607,False
53,7945.9866,234.3159,False,7409.8373,234.3159,False,7572.1157,234.3159,False
54,7977.6593,230.099,False,7428.555,230.099,False,7565.9683,230.099,False
55,7980.3926,229.5578,False,7422.6536,229.5578,False,7569.5097,229.5578,False
56,7982.9847,228.9685,False,7431.4163,228.9685,False,7579.791,228.9685,False
57,7985.3973,228.3421,False,7442.3487,228.3421,False,7600.926,228.3421,False
58,8012.6279,223.4745,False,7458.4539,223.4745,False,7594.6846,223.4745,False
59,8014.6619,223.0334,False,7453.2538,223.0334,False,7597.2522,223.0334,False
60,8017.0717,222.554,False,7460.894,222.554,False,7606.2024,222.554,False
61,8019.2262,222.0411,False,7470.1802,222.0411,False,7624.0834,222.0411,False
62,7779.6059,222.744,True,7233.7631,222.744,True,7373.8027,222.744,True
63,7782.4271,222.0989,True,7226.7336,222.0989,True,7377.5286,222.0989,True
64,7785.2973,221.4038,True,7236.724,221.4038,True,7389.2616,221.4038,True
65,7788.2133,220.6644,True,7249.6135,220.6644,True,7413.9129,220.6644,True
66,7834.456,217.7268,True,7283.1951,217.7268,True,7422.4618,217.7268,True
67,7837.1671,217.1882,True,7277.3353,217.1882,True,7425.9796,217.1882,True
68,7839.7742,216.6037,True,7286.1021,216.6037,True,7436.2411,216.6037,True
69,7842.2684,215.9836,True,7297.0849,215.9836,True,7457.3997,215.9836,True
70,7887.5389,212.4847,True,7330.9204,212.4847,True,7469.4306,212.4847,True
71,7890.1041,212.0469,True,7326.1845,212.0469,True,7472.6796,212.0469,True
72,7892.5444,211.5712,True,7333.8403,211.5712,True,7481.6398,211.5712,True
73,7894.7514,211.0634,True,7343.1595,211.0634,True,7499.5282,211.0634,True
74,7689.354,214.7354,True,7141.3484,214.7354,True,7281.2188,214.7354,True
75,7692.3378,214.108,True,7134.5386,214.108,True,7285.1073,214.108,True
76,7695.4433,213.4332,True,7144.7491,213.4332,True,7297.0588,213.4332,True
77,7698.581,212.7137,True,7157.8357,212.7137,True,7321.8757,212.7137,True
78,7754.7258,210.6727,True,7201.6064,210.6727,True,7340.6935,210.6727,True
79,7757.5632,210.1466,True,7195.9181,210.1466,True,7344.3461,210.1466,True
80,7760.3202,209.576,True,7204.823,209.576,True,7354.7395,209.576,True
81,7762.9794,208.9708,True,7215.9502,208.9708,True,7376.0159,208.9708,True
82,7828.3296,207.1731,True,7270.0516,207.1731,True,7408.6147,207.1731,True
83,7830.7394,206.76,True,7265.2811,206.76,True,7411.5853,206.76,True
84,7833.4457,206.3116,True,7273.1682,206.3116,True,7420.7486,206.3116,True
85,7836.0467,205.8332,True,7282.8926,205.8332,True,7439.0489,205.8332,True
86,7665.8422,212.2951,True,7115.7322,212.2951,True,7253.9087,212.2951,True
87,7669.1157,211.6969,True,7109.2702,211.6969,True,7258.0877,211.6969,True
88,7672.6186,211.0546,True,7119.8346,211.0546,True,7270.4044,211.0546,True
89,7676.1883,210.3698,True,7133.3452,210.3698,True,7295.6363,210.3698,True
90,7760.3225,210.6835,True,7205.2646,210.6835,True,7342.8477,210.6835,True
91,7763.411,210.1801,True,7199.8685,210.1801,True,7346.7601,210.1801,True
92,7766.4578,209.6349,True,7209.0524,209.6349,True,7357.4295,209.6349,True
93,7769.4216,209.0565,True,7220.4663,209.0565,True,7378.9713,209.0565,True
94,7855.4074,209.0491,True,7295.4906,209.0491,True,7432.7787,209.0491,True
95,7857.8173,208.6368,True,7290.7488,208.6368,True,7435.757,208.6368,True
96,7860.5212,208.1894,True,7298.6233,208.1894,True,7444.9057,208.1894,True
97,7863.1275,207.7122,True,7308.3404,207.7122,True,7463.1842,207.7122,True
102,8048.4636,216.5107,False,7488.2395,216.5107,False,7624.3086,216.5107,False
103,8050.1354,216.1714,False,7484.0873,216.1714,False,7626.4111,216.1714,False
104,8052.5581,215.8025,False,7490.9188,215.8025,False,7634.4322,215.8025,False
105,8054.9168,215.4068,False,7499.2507,215.4068,False,7649.813,215.4068,False
106,8084.8847,209.5822,False,7518.8168,209.5822,False,7654.7025,209.5822,False
107,8087.2578,209.3334,False,7517.149,209.3334,False,7657.9697,209.3334,False
108,8089.3615,209.0621,False,7522.7191,209.0621,False,7664.7534,209.0621,False
109,8090.9002,208.7711,False,7528.5955,208.7711,False,7675.8191,208.7711,False
114,7943.0186,207.2517,True,7380.7767,207.2517,True,7518.8772,207.2517,True
115,7944.702,206.9094,True,7376.6464,206.9094,True,7520.9804,206.9094,True
116,7947.0765,206.5374,True,7383.4208,206.5374,True,7528.9399,206.5374,True
