candidate_id,severe_count,fatal_count,warning_count,w2a_scored,w2a_warmup,readiness_ok
discrete_0,0,0,16395,5892,10470,True
discrete_1,0,0,16047,5544,10470,True
discrete_2,0,0,18765,8262,10470,False
discrete_14,0,0,18813,8310,10470,True
discrete_26,0,0,18579,8076,10470,True
discrete_38,0,0,18555,8052,10470,True
discrete_42,0,0,18189,7686,10470,True
discrete_43,0,0,18195,7692,10470,True
discrete_50,0,0,17523,7020,10470,False
discrete_62,0,0,17403,6900,10470,True
discrete_58,0,0,17211,6708,10470,False
discrete_94,0,0,17031,6528,10470,True
discrete_3,0,0,18735,8232,10470,False
discrete_4,0,0,18525,8022,10470,False
discrete_5,0,0,18441,7938,10470,False
discrete_6,0,0,18303,7800,10470,False
discrete_7,0,0,18183,7680,10470,False
discrete_8,0,0,18369,7866,10470,False
discrete_9,0,0,18357,7854,10470,False
discrete_10,0,0,17907,7404,10470,False
discrete_11,0,0,17763,7260,10470,False
discrete_12,0,0,17727,7224,10470,False
discrete_13,0,0,17715,7212,10470,False
discrete_15,0,0,18807,8304,10470,True
discrete_16,0,0,18573,8070,10470,True
discrete_17,0,0,18453,7950,10470,True
discrete_18,0,0,18411,7908,10470,True
discrete_19,0,0,18327,7824,10470,True
discrete_20,0,0,18453,7950,10470,True
discrete_21,0,0,18381,7878,10470,True
discrete_22,0,0,17907,7404,10470,True
discrete_23,0,0,17811,7308,10470,True
discrete_24,0,0,17751,7248,10470,True
discrete_25,0,0,17727,7224,10470,True
discrete_27,0,0,18591,8088,10470,True
discrete_28,0,0,18345,7842,10470,True
discrete_29,0,0,18213,7710,10470,True
discrete_30,0,0,18237,7734,10470,True
discrete_31,0,0,18135,7632,10470,True
discrete_32,0,0,18273,7770,10470,True
discrete_33,0,0,18153,7650,10470,True
discrete_34,0,0,17769,7266,10470,True
discrete_35,0,0,17631,7128,10470,True
discrete_36,0,0,17547,7044,10470,True
discrete_37,0,0,17595,7092,10470,True
discrete_39,0,0,18591,8088,10470,True
discrete_40,0,0,18405,7902,10470,True
discrete_41,0,0,18189,7686,10470,True
discrete_44,0,0,18297,7794,10470,True
discrete_45,0,0,18129,7626,10470,True
discrete_46,0,0,17781,7278,10470,True
discrete_47,0,0,17631,7128,10470,True
discrete_48,0,0,17595,7092,10470,True
discrete_49,0,0,17643,7140,10470,True
discrete_51,0,0,17223,6720,10470,False
discrete_52,0,0,17043,6540,10470,False
discrete_53,0,0,16731,6228,10470,False
discrete_54,0,0,17355,6852,10470,False
discrete_55,0,0,16899,6396,10470,False
discrete_56,0,0,16659,6156,10470,False
discrete_57,0,0,16671,6168,10470,False
discrete_59,0,0,16611,6108,10470,False
discrete_60,0,0,16479,5976,10470,False
discrete_61,0,0,16527,6024,10470,False
discrete_63,0,0,17139,6636,10470,True
discrete_64,0,0,17007,6504,10470,True
discrete_65,0,0,16659,6156,10470,True
discrete_66,0,0,17247,6744,10470,True
discrete_67,0,0,16779,6276,10470,True
discrete_68,0,0,16539,6036,10470,True
discrete_69,0,0,16551,6048,10470,True
discrete_70,0,0,17187,6684,10470,True
discrete_71,0,0,16551,6048,10470,True
discrete_72,0,0,16407,5904,10470,True
discrete_73,0,0,16455,5952,10470,True
discrete_74,0,0,17259,6756,10470,True
discrete_75,0,0,16959,6456,10470,True
discrete_76,0,0,16827,6324,10470,True
discrete_77,0,0,16491,5988,10470,True
discrete_78,0,0,17199,6696,10470,True
discrete_79,0,0,16719,6216,10470,True
discrete_80,0,0,16467,5964,10470,True
discrete_81,0,0,16479,5976,10470,True
discrete_82,0,0,17115,6612,10470,True
discrete_83,0,0,16467,5964,10470,True
discrete_84,0,0,16323,5820,10470,True
discrete_85,0,0,16371,5868,10470,True
discrete_86,0,0,17283,6780,10470,True
discrete_87,0,0,16959,6456,10470,True
discrete_88,0,0,16851,6348,10470,True
discrete_89,0,0,16527,6024,10470,True
discrete_90,0,0,17103,6600,10470,True
discrete_91,0,0,16611,6108,10470,True
discrete_92,0,0,16359,5856,10470,True
discrete_93,0,0,16371,5868,10470,True
discrete_95,0,0,16407,5904,10470,True
discrete_96,0,0,16251,5748,10470,True
discrete_97,0,0,16287,5784,10470,True
discrete_102,0,0,16815,6312,10470,False
discrete_103,0,0,16347,5844,10470,False
discrete_104,0,0,16287,5784,10470,False
discrete_105,0,0,16215,5712,10470,False
discrete_106,0,0,16575,6072,10470,False
discrete_107,0,0,16203,5700,10470,False
discrete_108,0,0,16179,5676,10470,False
discrete_109,0,0,16167,5664,10470,False
discrete_114,0,0,16743,6240,10470,True
discrete_115,0,0,16275,5772,10470,True
discrete_116,0,0,16215,5712,10470,True
discrete_117,0,0,16143,5640,10470,True
discrete_118,0,0,16479,5976,10470,True
discrete_119,0,0,16107,5604,10470,True
discrete_120,0,0,16083,5580,10470,True
discrete_121,0,0,16071,5568,10470,True
discrete_126,0,0,16659,6156,10470,True
discrete_127,0,0,16191,5688,10470,True
discrete_128,0,0,16143,5640,10470,True
discrete_129,0,0,16059,5556,10470,True
discrete_130,0,0,16431,5928,10470,True
discrete_131,0,0,16059,5556,10470,True
discrete_132,0,0,16035,5532,10470,True
discrete_133,0,0,16023,5520,10470,True
discrete_138,0,0,16671,6168,10470,True
discrete_139,0,0,16203,5700,10470,True
discrete_140,0,0,16155,5652,10470,True
discrete_141,0,0,16071,5568,10470,True
discrete_142,0,0,16443,5940,10470,True
discrete_143,0,0,16059,5556,10470,True
discrete_144,0,0,16035,5532,10470,True
discrete_145,0,0,16023,5520,10470,True
