strategy,public_label,day,month,daily_kwh,peak_kw,peak_30min_mean_kw,peak_60min_mean_kw,readiness_ok,day_category,schedule_fingerprint,trajectory_hash
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-01,2025-12,3334.8516,275.2854,273.7436,266.0932,,mild_school,SCH_HtgSP_native_multiday,ac2faf89a87d1aed9b0d7abeeae719b4ed735d0ee11a3d2ffed39fcb58357caa
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-02,2025-12,2936.7353,247.7087,245.2416,237.1598,,mild_school,SCH_HtgSP_native_multiday,8b77ee797b061baad510dd83dc3505c67a25df21cdb0688c9c972630ac9e119b
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-03,2025-12,2745.0395,239.28,235.6791,224.9647,,mild_school,SCH_HtgSP_native_multiday,01b515783d9c01ba483b9dc37986eb3bd6d77473e87177aaa0283a18652dd5f5
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-04,2025-12,3099.2507,264.6599,263.2446,255.2505,,mild_school,SCH_HtgSP_native_multiday,aa52fd323fa3c41544374556694ef27cea18040632ae78f3554472fc4908bfd0
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-05,2025-12,2925.8255,263.5531,260.2472,250.9001,,mild_school,SCH_HtgSP_native_multiday,1c70ad0fedf36baec408e546636eb71b059f8506f3b130563c9d444a76c0914d
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-06,2025-12,1154.7609,67.7375,67.6786,67.5872,,non_school,SCH_HtgSP_native_multiday,55e26e916a12a40cc86b3f5f2d85fc217cd70676bb22542f93a5aee24e896ac5
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-07,2025-12,1773.7789,111.7802,110.718,110.021,,non_school,SCH_HtgSP_native_multiday,ad1402d8f072149e9b8ecc89ddbe132f36a544030a4d897b9dcb626c49834134
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-08,2025-12,3548.348,283.4759,282.6453,276.3108,,mild_school,SCH_HtgSP_native_multiday,66bc02be9c0fc98e6845ea810de20018d6921c471b061edc28c487e485e09ced
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-09,2025-12,2688.9816,244.5914,241.9733,233.1217,,mild_school,SCH_HtgSP_native_multiday,b157fd8fe98e5b18e34ff8d780c9780a6ec19f5cd14ce6c0368ab30650566e0d
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-10,2025-12,2489.5214,233.4124,224.0773,209.2433,,mild_school,SCH_HtgSP_native_multiday,bef4df1762b1bdd6c2d9e71c0a61c44b26331e4425c9f15ef125f490e30b94fa
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-11,2025-12,2623.0275,249.9676,245.2413,236.6378,,mild_school,SCH_HtgSP_native_multiday,39e8daca48c93672c96aa365b9252dc3905bbf929e98f94686ce03585b03d633
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-12,2025-12,3117.1289,265.3434,262.7792,253.9988,,mild_school,SCH_HtgSP_native_multiday,b94466a3428ee7b875e0d073bda023d93782faf90950b0e24ce354aac280784d
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-13,2025-12,2106.9812,120.5569,120.4527,119.9498,,non_school,SCH_HtgSP_native_multiday,5a459f95603190c72b2ef6b85e91fedfb8ef2c7ce3b82c7ff1f3e9642a77f6d1
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12-14,2025-12,2456.953,132.9378,132.7341,132.3243,,non_school,SCH_HtgSP_native_multiday,f4b574e53b02e42f3b52f798db44fad12c8954d726dccc0f0ad860c00bc43697
