strategy,public_label,period,total_kwh,peak_15min_kw,energy_charge_usd,demand_charge_usd,total_usd,tariff_mode,ranking_eligible,trajectory_hash,billed_demand_kw
actual_utility_cs351075,ACTUAL_UTILITY_BILL,2025-12,67328.0,232.38,NOT_AVAILABLE_FROM_SOURCE_INVOICE,NOT_AVAILABLE_FROM_SOURCE_INVOICE,6683.62,ACTUAL_UTILITY,False,,
actual_utility_cs351075,ACTUAL_UTILITY_BILL,2026-01,81491.0,284.82,NOT_AVAILABLE_FROM_SOURCE_INVOICE,NOT_AVAILABLE_FROM_SOURCE_INVOICE,8269.37,ACTUAL_UTILITY,False,,
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12,75171.7662,283.4759,8268.89,3401.71,11670.61,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,2fd021c7cd1ca724eab77bd1c41758dc74ce2260c9d6ff3c04b3e69c10ca7c0a,283.4759
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2026-01,79942.9253,287.882,8793.72,3454.58,12248.31,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,2fd021c7cd1ca724eab77bd1c41758dc74ce2260c9d6ff3c04b3e69c10ca7c0a,287.882
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,two_month,155114.6915,287.882,17062.62,3454.58,20517.2,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,2fd021c7cd1ca724eab77bd1c41758dc74ce2260c9d6ff3c04b3e69c10ca7c0a,287.882
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,2025-12,94128.531,227.9709,10354.14,2735.65,13089.79,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,1543ecfbb379b32db73e4c6f96fcde1d67a0ec38d30a9a7d8922da29173f7494,227.9709
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,2026-01,101501.9886,257.2284,11165.22,3086.74,14251.96,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,1543ecfbb379b32db73e4c6f96fcde1d67a0ec38d30a9a7d8922da29173f7494,257.2284
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,two_month,195630.5196,257.2284,21519.36,3086.74,24606.1,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,1543ecfbb379b32db73e4c6f96fcde1d67a0ec38d30a9a7d8922da29173f7494,257.2284
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,2025-12,101021.806,213.925,11112.4,2567.1,13679.5,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,c9f71bc7337a7e0da7605ff9ccf039af6c1a699da76a4777f9c39bff3ae53db9,213.925
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,2026-01,107911.7317,248.1617,11870.29,2977.94,14848.23,ILLUSTRATIVE_FLAT_PLUS_DEMAND,True,c9f71bc7337a7e0da7605ff9ccf039af6c1a699da76a4777f9c39bff3ae53db9,248.1617
