strategy,public_label,period,total_kwh,peak_15min_kw,peak_30min_mean_kw,peak_60min_mean_kw,mean_daily_kwh,mean_daily_peak_kw,peak_day,n_days,n_intervals
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2025-12,75171.7661640479,283.4759256653823,282.64529712826027,276.3108092687878,2424.895682711223,208.6302914250313,2025-12-08,31,2976
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2026-01,79942.92528963592,287.8820440349866,287.0934360316653,281.6333544965578,2578.804041601159,208.36657118177894,2026-01-26,31,2976
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,two_month,155114.69145368383,287.8820440349866,287.0934360316653,281.6333544965578,2501.8498621561907,208.4984313034051,2026-01-26,62,5952
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,2025-12,94128.53099078363,227.97091699700604,215.6176699368342,204.5940443899333,3036.4042255091495,168.4179586410598,2025-12-08,31,2976
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,2026-01,101501.98860029042,257.22844895109415,244.971945122715,231.81296312285627,3274.257696783562,182.61643235969262,2026-01-23,31,2976
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,two_month,195630.51959107406,257.22844895109415,244.971945122715,231.81296312285627,3155.330961146356,175.51719550037623,2026-01-23,62,5952
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,2025-12,101021.80600438727,213.92503222113172,207.48360865339373,207.0925802494022,3258.7679356253957,169.5853593121899,2025-12-08,31,2976
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,2026-01,107911.73171474968,248.1616661535861,239.38202539921548,234.8249412600143,3481.0236037016025,180.1923542839563,2026-01-23,31,2976
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,two_month,208933.53771913695,248.1616661535861,239.38202539921548,234.8249412600143,3369.8957696634993,174.88885679807308,2026-01-23,62,5952
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,2025-12,88522.34764584035,253.22980809900278,245.39833892191865,242.01600016832242,2855.5596014787207,177.01167311307788,2025-12-08,31,2976
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,2026-01,96352.90191576588,272.95779067686334,264.7210174335677,262.31274269854254,3108.1581263150283,194.61209570059816,2026-01-23,31,2976
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,two_month,184875.24956160624,272.95779067686334,264.7210174335677,262.31274269854254,2981.858863896875,185.81188440683803,2026-01-23,62,5952
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,2025-12,92165.9198661783,230.7848024915429,220.08442139535273,217.567885604398,2973.094189231558,171.89908630121434,2025-12-08,31,2976
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,2026-01,99415.85701151923,261.1952504408998,249.8743110312257,244.58428539547984,3206.963129403846,192.35555855217703,2026-01-23,31,2976
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,two_month,191581.77687769753,261.1952504408998,249.8743110312257,244.58428539547984,3090.028659317702,182.1273224266957,2026-01-23,62,5952
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,2025-12,87597.47971120772,242.73610704726684,232.71985332773068,229.77703340343808,2825.7251519744427,171.6705108219903,2025-12-08,31,2976
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,2026-01,95404.85388086979,265.92185679216874,254.75323965800933,250.94031804574757,3077.5759316409612,189.53009290569003,2026-01-23,31,2976
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,two_month,183002.3335920775,265.92185679216874,254.75323965800933,250.94031804574757,2951.6505418077018,180.60030186384017,2026-01-23,62,5952
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,2025-12,87988.55786469803,242.70459575896672,232.68609146893027,229.74415563667884,2838.3405762805814,171.3043974990898,2025-12-08,31,2976
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,2026-01,95895.77268113142,265.45658579281786,254.28302264286552,250.1119167106934,3093.412021971981,189.07010606078637,2026-01-23,31,2976
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,two_month,183884.33054582943,265.45658579281786,254.28302264286552,250.1119167106934,2965.876299126281,180.1872517799381,2026-01-23,62,5952
