strategy,peak_cap_kw,two_month_peak_15min_kw,passes_cap
ALWAYS_CONTINUOUS_68_74,260.0,248.1616661535861,True
ALWAYS_CONTINUOUS_68_74,250.0,248.1616661535861,True
ALWAYS_CONTINUOUS_68_74,240.0,248.1616661535861,False
ALWAYS_CONTINUOUS_68_74,230.0,248.1616661535861,False
ALWAYS_GRID_114,260.0,250.16576542541185,True
ALWAYS_GRID_114,250.0,250.16576542541185,False
ALWAYS_GRID_114,240.0,250.16576542541185,False
ALWAYS_GRID_114,230.0,250.16576542541185,False
ALWAYS_GRID_42,260.0,265.92185679216874,False
ALWAYS_GRID_42,250.0,265.92185679216874,False
ALWAYS_GRID_42,240.0,265.92185679216874,False
ALWAYS_GRID_42,230.0,265.92185679216874,False
ALWAYS_GRID_43,260.0,265.45658579281786,False
ALWAYS_GRID_43,250.0,265.45658579281786,False
ALWAYS_GRID_43,240.0,265.45658579281786,False
ALWAYS_GRID_43,230.0,265.45658579281786,False
COLD_TRIGGER_10F,260.0,248.37420676076823,True
COLD_TRIGGER_10F,250.0,248.37420676076823,True
COLD_TRIGGER_10F,240.0,248.37420676076823,False
COLD_TRIGGER_10F,230.0,248.37420676076823,False
COLD_TRIGGER_20F,260.0,248.1616662830314,True
COLD_TRIGGER_20F,250.0,248.1616662830314,True
COLD_TRIGGER_20F,240.0,248.1616662830314,False
COLD_TRIGGER_20F,230.0,248.1616662830314,False
COLD_TRIGGER_20F_4H,260.0,248.16168821768366,True
COLD_TRIGGER_20F_4H,250.0,248.16168821768366,True
COLD_TRIGGER_20F_4H,240.0,248.16168821768366,False
COLD_TRIGGER_20F_4H,230.0,248.16168821768366,False
COLD_TRIGGER_20F_8H,260.0,248.16168821768377,True
COLD_TRIGGER_20F_8H,250.0,248.16168821768377,True
COLD_TRIGGER_20F_8H,240.0,248.16168821768377,False
COLD_TRIGGER_20F_8H,230.0,248.16168821768377,False
COLD_TRIGGER_30F,260.0,248.16166626077745,True
COLD_TRIGGER_30F,250.0,248.16166626077745,True
COLD_TRIGGER_30F,240.0,248.16166626077745,False
COLD_TRIGGER_30F,230.0,248.16166626077745,False
a04_native_sch_htgsp,260.0,287.8820440349866,False
a04_native_sch_htgsp,250.0,287.8820440349866,False
a04_native_sch_htgsp,240.0,287.8820440349866,False
a04_native_sch_htgsp,230.0,287.8820440349866,False
continuous_68_heat_sensitivity,260.0,248.1616661535861,True
continuous_68_heat_sensitivity,250.0,248.1616661535861,True
continuous_68_heat_sensitivity,240.0,248.1616661535861,False
continuous_68_heat_sensitivity,230.0,248.1616661535861,False
frozen_dqn_tou_seed1,260.0,261.1952504408998,False
frozen_dqn_tou_seed1,250.0,261.1952504408998,False
frozen_dqn_tou_seed1,240.0,261.1952504408998,False
frozen_dqn_tou_seed1,230.0,261.1952504408998,False
frozen_ppo_flat_seed0,260.0,272.95779067686334,False
frozen_ppo_flat_seed0,250.0,272.95779067686334,False
frozen_ppo_flat_seed0,240.0,272.95779067686334,False
frozen_ppo_flat_seed0,230.0,272.95779067686334,False
grid_flat_discrete_42,260.0,265.92185679216874,False
grid_flat_discrete_42,250.0,265.92185679216874,False
grid_flat_discrete_42,240.0,265.92185679216874,False
grid_flat_discrete_42,230.0,265.92185679216874,False
grid_tou_discrete_43,260.0,265.45658579281786,False
grid_tou_discrete_43,250.0,265.45658579281786,False
grid_tou_discrete_43,240.0,265.45658579281786,False
grid_tou_discrete_43,230.0,265.45658579281786,False
observed_bas_incumbent_v2,260.0,257.22844895109415,True
observed_bas_incumbent_v2,250.0,257.22844895109415,False
observed_bas_incumbent_v2,240.0,257.22844895109415,False
observed_bas_incumbent_v2,230.0,257.22844895109415,False
