hour_ending,strategy_id,occ_frac_1F_A,occ_frac_1F_B,occ_frac_1F_C,occ_frac_1F_D,occ_frac_2F_A,occ_frac_2F_B
0,baseline,0.0,0.0,0.0,0.0,0.0,0.0
1,baseline,0.0,0.0,0.0,0.0,0.0,0.0
2,baseline,0.0,0.0,0.0,0.0,0.0,0.0
3,baseline,0.0,0.0,0.0,0.0,0.0,0.0
4,baseline,0.0,0.0,0.0,0.0,0.0,0.0
5,baseline,0.0,0.0,0.0,0.0,0.0,0.0
6,baseline,0.0,0.0,0.0,0.0,0.0,0.0
7,baseline,1.0,1.0,1.0,1.0,1.0,1.0
8,baseline,1.0,1.0,1.0,1.0,1.0,1.0
9,baseline,1.0,1.0,1.0,1.0,1.0,1.0
10,baseline,1.0,1.0,1.0,1.0,1.0,1.0
11,baseline,1.0,1.0,1.0,1.0,1.0,1.0
12,baseline,1.0,1.0,1.0,1.0,1.0,1.0
13,baseline,1.0,1.0,1.0,1.0,1.0,1.0
14,baseline,1.0,1.0,1.0,1.0,1.0,1.0
15,baseline,1.0,1.0,1.0,1.0,1.0,1.0
16,baseline,0.0,0.0,0.0,0.0,0.0,0.0
17,baseline,0.0,0.0,0.0,0.0,0.0,0.0
18,baseline,0.0,0.0,0.0,0.0,0.0,0.0
19,baseline,0.0,0.0,0.0,0.0,0.0,0.0
20,baseline,0.0,0.0,0.0,0.0,0.0,0.0
21,baseline,0.0,0.0,0.0,0.0,0.0,0.0
22,baseline,0.0,0.0,0.0,0.0,0.0,0.0
23,baseline,0.0,0.0,0.0,0.0,0.0,0.0
