hour_ending,strategy_id,occ_frac_1F_A,occ_frac_1F_B,occ_frac_1F_C,occ_frac_1F_D,occ_frac_2F_A,occ_frac_2F_B
0,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
1,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
2,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
3,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
4,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
5,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
6,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
7,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
8,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
9,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
10,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
11,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
12,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
13,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
14,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
15,deep_setback,1.0,1.0,1.0,1.0,1.0,1.0
16,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
17,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
18,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
19,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
20,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
21,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
22,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
23,deep_setback,0.0,0.0,0.0,0.0,0.0,0.0
