hour_ending,strategy_id,occ_frac_1F_A,occ_frac_1F_B,occ_frac_1F_C,occ_frac_1F_D,occ_frac_2F_A,occ_frac_2F_B
0,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
1,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
2,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
3,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
4,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
5,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
6,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
7,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
8,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
9,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
10,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
11,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
12,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
13,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
14,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
15,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
16,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
17,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
18,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
19,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
20,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
21,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
22,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
23,flat_24_7,1.0,1.0,1.0,1.0,1.0,1.0
