hour_ending,strategy_id,occ_frac_1F_A,occ_frac_1F_B,occ_frac_1F_C,occ_frac_1F_D,occ_frac_2F_A,occ_frac_2F_B
0,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
1,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
2,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
3,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
4,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
5,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
6,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
7,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
8,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
9,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
10,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
11,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
12,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
13,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
14,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
15,morning_all_on,1.0,1.0,1.0,1.0,1.0,1.0
16,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
17,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
18,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
19,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
20,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
21,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
22,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
23,morning_all_on,0.0,0.0,0.0,0.0,0.0,0.0
