hour_ending,strategy_id,occ_frac_1F_A,occ_frac_1F_B,occ_frac_1F_C,occ_frac_1F_D,occ_frac_2F_A,occ_frac_2F_B
0,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
1,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
2,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
3,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
4,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
5,stagger_preheat,1.0,1.0,0.0,0.0,0.0,0.0
6,stagger_preheat,1.0,1.0,1.0,1.0,0.0,0.0
7,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
8,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
9,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
10,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
11,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
12,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
13,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
14,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
15,stagger_preheat,1.0,1.0,1.0,1.0,1.0,1.0
16,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
17,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
18,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
19,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
20,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
21,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
22,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
23,stagger_preheat,0.0,0.0,0.0,0.0,0.0,0.0
