reward,day,daily_kwh,peak_kw,pre8_violations,failed,policy,recovery_min
-2352.82521893713,2025-11-01,1368.562150490322,143.57318405855276,0,False,PPO,
-2525.5927148689184,2025-11-02,1333.808548908213,155.36904593332886,0,False,PPO,
-2199.658356792749,2025-11-03,1326.4928563186281,134.03194760230093,0,False,PPO,
-2063.3626972012935,2025-11-05,1254.184142132323,125.5240400096943,0,False,PPO,
-2353.2434632603345,2025-11-08,1550.9228477391152,142.1421814354427,0,False,PPO,
-2984.0838276403297,2025-11-10,2329.7175006353596,177.96784850427244,0,False,PPO,
-2724.8941559640457,2025-11-11,2019.181579436924,163.1728244287743,0,False,PPO,
-2457.3429874686753,2025-11-12,1418.37917317578,150.14249911250545,0,False,PPO,
-2568.3710379767017,2025-11-13,1509.684022996821,156.81393034780555,0,False,PPO,
-1271.3225975873197,2025-11-15,502.4184314479805,78.40215905423747,0,False,PPO,
-2381.497102919134,2025-11-16,1246.4699922252494,146.46138025680693,0,False,PPO,
-2495.5463059182293,2025-11-18,2117.097168128132,147.09964304952356,0,False,PPO,
-2349.712579974199,2025-11-20,1631.094914174353,141.26541268488512,0,False,PPO,
-2560.574618992137,2025-11-26,2298.8129659234164,149.98113753875515,0,False,PPO,
-2951.9577133232633,2025-11-27,2352.8062066156454,175.64139790195907,0,False,PPO,
-3088.262713941399,2025-11-28,2473.560362446066,183.76236469652474,0,False,PPO,
-2754.5594326761143,2025-11-30,1967.7587705159983,165.56189201427964,0,False,PPO,
-3014.966367648187,2025-12-03,2681.1430136242716,177.21528040088492,0,False,PPO,
-1000000.0,2025-12-04,,,0,True,PPO,
-3483.100584937153,2025-12-05,2754.1343165052044,207.8402977971019,0,False,PPO,
-3898.1747678609463,2025-12-08,3177.808935127149,232.1225130430459,0,False,PPO,
-3072.2566305051196,2025-12-09,2448.513660900803,182.89566607980154,0,False,PPO,
-2775.8788027729097,2025-12-10,2428.55151870896,163.29684136852228,0,False,PPO,
-3407.3727065979,2025-12-11,2711.310521544996,203.13436293416672,0,False,PPO,
-3817.434821364558,2025-12-13,3180.1861550030812,226.7208321842792,0,False,PPO,
-4016.2358381535996,2025-12-14,3215.818784221129,239.68917226980426,0,False,PPO,
-3730.225422596878,2025-12-15,3075.7380983175135,221.7424567199184,0,False,PPO,
-3354.148731413299,2025-12-16,2507.235306850286,201.21869963941765,0,False,PPO,
-2566.98939763309,2025-12-17,1998.1616034402573,152.81400034801726,0,False,PPO,
-2506.5824967030458,2025-12-18,2233.420650737992,146.90480124096578,0,False,PPO,
-3556.1559113478647,2025-12-19,2964.236511292784,211.02983533284873,0,False,PPO,
-2770.584536841853,2025-12-20,1931.5396991086604,166.91998486325426,0,False,PPO,
-2741.912675169064,2025-12-22,2251.051243504151,162.45243506323774,0,False,PPO,
-2662.658297560026,2025-12-23,2000.6574774308328,159.1719600178884,0,False,PPO,
-2519.7399689082677,2025-12-26,2071.603322466254,149.07650468082113,0,False,PPO,
-2540.2894366139335,2025-12-27,1696.6308588966479,153.44624890308904,0,False,PPO,
-2523.0508313407595,2025-12-28,1772.2097409912235,151.69237749478754,0,False,PPO,
