boot_i,a,b,c,R,C
0,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
1,0.999998999000001,1.000999998999e-06,2.9450312608140648e-05,29.420891745845115,8488.874237990094
2,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
3,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
4,0.999998999000001,1.000999998999e-06,5.294166550882235e-05,52.88877678497904,4722.178601622181
5,0.999998999000001,1.000999998999e-06,8.154152729162788e-05,81.46006730586355,3065.9224606609528
6,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
7,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
8,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
9,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
10,0.999998999000001,1.000999998999e-06,8.073124021434051e-05,80.65058970536637,3096.6946542162973
11,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
12,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
13,0.999998999000001,1.000999998999e-06,4.019803032108133e-05,40.15787248879057,6219.210195204286
14,0.999998999000001,1.000999998999e-06,5.92377254680874e-06,5.917854698034478,42202.83578151227
15,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
16,0.999998999000001,1.000999998999e-06,6.188921746348714e-05,61.82739013524111,4039.4758610010354
17,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
18,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
19,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
20,0.999998999000001,1.000999998999e-06,5.672546745540317e-05,56.66879871341523,4407.191535205007
21,0.999998999000001,1.000999998999e-06,4.11169205926314e-05,41.075844788959365,6080.2218745146665
22,0.999998999000001,1.000999998999e-06,1.0502132645821909e-05,10.491641015308733,23804.688859977232
23,0.999998999000001,1.000999998999e-06,3.9892714960472855e-05,39.852862138227344,6266.808369591015
24,0.999998999000001,1.000999998999e-06,9.196011961121494e-05,91.86825145172334,2718.569756726495
25,0.999998999000001,1.000999998999e-06,7.227908460328516e-06,7.2206877797766476,34588.15248867129
26,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
27,0.999998999000001,1.000999998999e-06,0.0,249750.25,1.0
28,0.999998999000001,1.000999998999e-06,6.103974732523796e-05,60.978768617660045,4095.6919213299743
29,0.999998999000001,1.000999998999e-06,9.176857662720266e-05,91.67689981915208,2724.2440624920114
