point,status,bacnet_or_column_identity,sampling_period,missing_fraction,stuck_fraction,range,timestamp_quality,usable_date_span,fdd_lookup,sources_scanned
facility_kw,PRESENT_IN_EXPORT,facility_kw,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
zone_temp_1F_A_f,PRESENT_IN_EXPORT,zone_temp_1F_A_f,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
zone_temp_1F_B_f,PRESENT_IN_EXPORT,zone_temp_1F_B_f,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
zone_temp_1F_C_f,PRESENT_IN_EXPORT,zone_temp_1F_C_f,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
zone_temp_1F_D_f,PRESENT_IN_EXPORT,zone_temp_1F_D_f,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
zone_temp_2F_A_f,PRESENT_IN_EXPORT,zone_temp_2F_A_f,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
zone_temp_2F_B_f,PRESENT_IN_EXPORT,zone_temp_2F_B_f,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
htg_setpoint,PRESENT_IN_EXPORT,unocc_htg_sp_f,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
occupancy,PRESENT_IN_EXPORT,occupied,15min_or_source_export,NOT_COMPUTED,NOT_COMPUTED,UNKNOWN,UNKNOWN,PARTIAL — column present; quality not scored in this inventory,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
hp_enable_or_stage,NOT_IN_SITE_EXPORT,UNKNOWN — do not invent BACnet object-id,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_IN_SITE_EXPORT,C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\reports\master_long.parquet;C:\Users\ben\OneDrive\Desktop\testing\sp_creekside\ml\artifacts\real_baseline_15min_v1_schema.json
