iteration,run_id,stage,parameter_family,nmbe_pct,cvrmse_pct,tuning_nmbe_pct,tuning_cvrmse_pct,objective,admitted,sat_setpoint_c,idf_sha256,epw_sha256
1,R01,baseline,baseline,-4.127758586591143,22.357263224950984,1.33349632147746,17.856469324439576,1.4882551497297638,True,14.4,4e8e6e2733d5147ae815b6ce23ebc22133efb82beed0af6fd728cc1b3aa285a4,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
2,R02,sat_ladder,sat_setpoint+setpoints,37.0917156447683,46.06147932145939,38.994802365145844,47.69928968868109,70.93588329011455,True,16.0,bed7f3aae9db38d5d58ef4e3c36ae3d35fd6aa295cb94cb228f8c5c6c847b1d2,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
3,R03,sat_ladder,sat_setpoint+setpoints,42.28397095197564,50.27802996957312,43.749213969323236,51.68509216322233,88.43241003699305,True,17.5,76e8bd060738fec21260c5c7d4e26e5a777a6e437f4285b8c4930fc751e87ca1,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
4,R04,sat_ladder,sat_setpoint+setpoints,44.205272061925676,52.032663806792186,45.575652575809094,53.35420791527046,95.73747765183822,True,18.5,1865bd9ae5698ddad0e00aeab5e9070bb0b92f619fa33e48fa7bdf670113b469,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
5,R05,sat_ladder,sat_setpoint+setpoints,44.785555336376504,52.65986202859496,46.144330282455414,53.954794648988155,98.11027920249539,True,19.0,c4a4616edebbfff841438b3fb3ca1a83979bb00f09d8f80047bb768a01479c50,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
6,R06,sat_ladder,sat_setpoint+setpoints,45.3047146428042,53.20671252301523,46.623593357393204,54.4704495906436,100.13717776269725,True,19.5,b8521e015b199aabfe06d037d9648df76274b7da4844f02bb4f7d5ea98e35dfc,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
7,R07,zone_setpoints,setpoints,30.21244307629146,39.761221022201916,33.21699193096439,41.647195463796564,51.843581628779816,True,14.4,4142c88da628eeaeb2ec705fdc0b35e353a78385fa5d256b2b4c54e91d59393d,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
8,R08,zone_setpoints,setpoints,-4.127758586591143,22.357263224950984,1.33349632147746,17.856469324439576,1.4882551497297638,True,14.4,4e8e6e2733d5147ae815b6ce23ebc22133efb82beed0af6fd728cc1b3aa285a4,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
9,R09,zone_setpoints,setpoints,39.04601298867038,45.808723469269076,40.50094446707351,47.290240928808025,75.55246849613093,True,14.4,bad748d083d67a2beca923358126bc566a54b2c96d9a2df7a0bc75e277f9cde6,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
10,R10,zone_setpoints,setpoints,10.482932036296258,28.59707935500918,16.127757712358257,27.632958662728107,13.797873439612541,True,14.4,9fb1224760d1337cb66ff17942f9687f3bc2defba62479c5fd5da40dfe4cd77b,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
11,R11,outdoor_air,outdoor_air,-3.8641409449160338,22.3138668692194,1.6730066916261677,17.81571555287281,1.522623480768478,True,14.4,e09c198ada47b5577e5edbab670dee50f26572f891c3ea1732d581974a6cfa4e,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
12,R12,outdoor_air,outdoor_air,-4.019757961130719,22.345943840407365,1.4593880514094424,17.83806160040992,1.499398946761728,True,14.4,d6bb96b7774761b2101c5db108f5e425c17e85a2ebe0784e5565e5294b014f7c,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
13,R13,outdoor_air,outdoor_air,-4.265560370716031,22.38369795412494,1.168283520201207,17.897822740498373,1.4782934946776187,True,14.4,123745061a84d7d6bc21aa7c7082a85fd0388cd7c38680250b06db9bc901cdfa,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
14,R14,outdoor_air,outdoor_air,-4.347150293124802,22.397119853928405,1.0763749724493772,17.91905732192534,1.4734216135034877,True,14.4,2b8827212fd8edb6880733cba0021375cd384e4f1c590484574abe6f395d03c1,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
15,R15,cooling_rating,cooling,-4.127758586591143,22.357263224950984,1.33349632147746,17.856469324439576,1.4882551497297638,True,14.4,4e8e6e2733d5147ae815b6ce23ebc22133efb82beed0af6fd728cc1b3aa285a4,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
16,R16,cooling_rating,cooling,4.353503983751544,23.155831353461487,9.541841226674434,21.465179302909156,5.689664570940508,True,14.4,cffdce4d9656f1aa90bacca0e83d22340691291ceb29e105fd4131d4f7353ca0,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
17,R17,cooling_rating,cooling,8.334846905554127,23.71247687540391,13.112872879078834,23.226544803638117,9.27555244356151,True,14.4,2e82f1b1de89e1521d57161d2685641dc6a6fb87420b6b398ec85291056e62d8,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
18,R18,cooling_rating,cooling,8.041771098673314,23.500340378366985,12.788288431204363,22.96691852371537,8.885965490986926,True,14.4,d25071abc120ba9628eebf3e2772b337138da3b4eb0e54606b741311e2923e1e,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
