iteration,run_id,stage,parameter_family,nmbe_pct,cvrmse_pct,tuning_nmbe_pct,tuning_cvrmse_pct,objective,admitted,equipment_w_m2,lighting_w_m2,hvac_availability_mode,mel_weekend_fraction,idf_sha256,epw_sha256
1,R01,baseline,baseline,-7.595494504091466,23.791104914384213,-2.4766453778664386,19.46653938455351,1.9295560291543896,True,15.0,11.0,continuous,0.05,e2002757d5a038b725b28f0c3b16f55519729dbf2238f74bda5a7e77afafbcdc,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
2,R02,measured_shapes,load_shape,-31.187396558784712,40.55070181493431,-28.276677168526,38.37408175815165,38.527575093416274,True,15.0,11.0,continuous,0.65,6cce4654e1c1295c392b1158f9914c8e3dc9b45811eecfc4b9ffa78dfeb4b28d,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
3,R03,mel_density,equipment_w_m2+load_shape,-25.025413728047592,32.681867741642506,-21.871454838212173,29.36243941732752,22.96621190753698,True,12.0,11.0,continuous,0.65,5215306b55f9fcce68ad28654887d8291e64632903f112480f81adc6d57610b4,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
4,R04,mel_density,equipment_w_m2+load_shape,-17.447386863919142,23.372941355543123,-13.466880589887051,18.828428096283638,8.829873599899612,True,8.0,11.0,continuous,0.65,201cc645479eb4f6f3d1b692700052afdff88e62edd184c7430d3eb20133e8ae,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
5,R05,mel_density,equipment_w_m2+load_shape,-12.460321741596472,19.96571598466153,-7.539053654484427,15.04638247892011,3.2796870922164842,True,6.0,11.0,continuous,0.65,52dea4e63185588d4714cfe40c56e0bd9ce2f85fb566c7d02e56695479ca8d9e,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
6,R06,mel_density,equipment_w_m2+load_shape,-6.260835396629385,17.65851988164887,-0.7066881266070176,13.429583532540788,0.821548385920341,True,4.0,11.0,continuous,0.65,1ef2e384478b6bb2f4f10d8684af3c5b11fe0814c97f2430ae7ce3f53f4b0b44,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
7,R07,lighting_density,lighting_w_m2+load_shape,-31.820744912545766,39.46470778341376,-29.269852549968277,37.218792933322,40.4255864981576,True,15.0,8.0,continuous,0.65,be0811f9aefb1a056f82909c4675b97efd6e675e6ed373014b87a7cc678e33a1,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
8,R08,lighting_density,lighting_w_m2+load_shape,-33.07842261075773,38.74318099793587,-30.2562225761727,36.429825621252405,42.51592549335547,True,15.0,5.0,continuous,0.65,3e04cdadf229f95b3146caf2c6b3d1c7ab3fbab5c072844bed421f85349535dd,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
9,R09,lighting_density,lighting_w_m2+load_shape,-34.3321269699719,38.30202069412063,-32.13077556741626,36.094447816310925,47.08573248994425,True,15.0,3.5,continuous,0.65,109d845b2d321f1ffd53794853df10df1d2354722da45728205f0f472790be11,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
10,R10,lighting_density,lighting_w_m2+load_shape,-34.04583232769894,37.73766443368086,-31.76095471063318,35.48430519918906,45.94648938954322,True,15.0,2.5,continuous,0.65,e75aa485acb3df7b81bd12083af3b2d9b8b513f9cbd3b375c904c487690b45fb,19f3ceab3600d49d96e4e9c410a176aa8efbc61e87b807211bad4eb55a1e7db5
