iteration,run_id,stage,parameter_family,nmbe_pct,cvrmse_pct,tuning_nmbe_pct,tuning_cvrmse_pct,holdout_nmbe_pct,holdout_cvrmse_pct,complete_months,admitted,idf_sha256,epw_sha256,target_sha256
1,R01,seed,seed,57.26446983625191,59.53782790183927,60.78911110656271,61.1743430895348,69.98429111265824,63.81332505600618,12,True,bac65f3abbe2fd725d86e898d3bbd0f297ac52c2a34cbe96e9de3113b8475f6d,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
2,R02,repeatability,seed,57.26446983625191,59.53782790183927,60.78911110656271,61.1743430895348,69.98429111265824,63.81332505600618,12,True,bac65f3abbe2fd725d86e898d3bbd0f297ac52c2a34cbe96e9de3113b8475f6d,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
3,R03,family_screen_low,occupancy_calendar,56.19255187608949,58.82906318729401,59.949098232097015,60.544064756570585,67.17135010549919,62.4526337177967,12,True,0db01cc1c36c342a9a0bf94ab811623fdae63d3efd92c91faf8144889468b19e,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
4,R04,family_screen_high,occupancy_calendar,59.06947486486383,60.863124600915825,62.22270652539906,62.329182323661804,74.6246629465773,66.48192601776266,12,True,fe4d08308cbba388783242474636381b59eabcb38465b315f3ed1401080d308c,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
5,R05,family_screen_low,internal_loads,62.86308880743257,64.12080865858181,67.28493347625238,66.04611348555493,74.03839139351378,67.72357735835186,12,True,946b10f8b61a177b23fff3972cdb1ddd330c7d90ed6eff13b3ebfcd3f79cc2cd,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
6,R06,family_screen_high,internal_loads,47.79830666845662,53.144916306014856,49.62228313724668,54.3883535385579,64.05629010360144,58.26970123918269,12,True,7ed6510d3bb304ef89b761faf9bce001df763797fb850495e6cafc5496c3300d,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
7,R07,family_screen_low,hvac_schedule,61.785183505203314,63.13499896538614,65.09559686961194,64.60749978887773,77.99390234452098,69.25089710573826,12,True,fff3ed2fd4c7926713e0ac90de5de30aa69e466df052205f2339e21f7aaa10e0,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
8,R08,family_screen_high,hvac_schedule,38.75464420980878,43.8759103642267,43.86332730799654,46.049736850923786,33.622800941165224,40.62293893986318,12,True,233e846111a7b6e2eb770515ae28f118fb8fbc407bd7ae644b522949c2a8420b,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
9,R09,family_screen_low,envelope,56.93556771787146,59.27431554341431,60.340566156601,60.91142087170971,70.08383573010016,63.48307935191709,12,True,0214bdb1a9b9d56b4a632e14f2ba76757fe457a586b27218d1ebf61b78b78aa3,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
10,R10,family_screen_high,envelope,57.75852333757361,59.92730673952411,61.21467133077382,61.51394367886104,71.0870849024581,64.59914226922557,12,True,278f114d984c44e16e376cbd06a80898578fdb4c77572e15bf4b99ca13c48fa2,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
11,R11,family_screen_low,infiltration,59.933834274545646,61.43485942493546,63.256747734830974,63.062349401142995,75.09333138948625,66.21853048763356,12,True,6b35fb4691286f25edbea61ab5a801a8870eb8feb05bbde332841830f5df0ffc,8ab9ce9094a76a5c70ffaf0136388137ddeb0ba7caa20e824d09888daa3197de,8c23c338f19e638f459c409ad8d1ea766b0c5a1a6c095d70eb849ea2ef5a2897
