month,energy_kwh,peak_kw,samples,mels_S_kwh,mels_N_kwh,lig_S_kwh,hvac_S_kwh,hvac_N_kwh,mels_bound_kwh,lighting_bound_kwh,hvac_panels_bound_kwh,expected_samples,coverage_pass
2020-01-01 00:00:00+00:00,29983.86071470325,79.0536011,2976,2916.33859702325,2852.57545454025,1176.077249263,14051.346075281,8987.52333859575,5768.9140515635,1176.077249263,23038.869413876753,2976,True
2020-02-01 00:00:00+00:00,31304.200529846,99.169206328,2784,2415.286241028,2655.706777567,1032.23772098375,16328.384392413749,8872.5853978535,5070.993018595,1032.23772098375,25200.96979026725,2784,True
2020-03-01 00:00:00+00:00,28715.1939967645,96.41946069800001,2976,1503.628348758,1974.7117110175,649.17021329425,17201.0471762255,7386.63654746925,3478.3400597755,649.17021329425,24587.68372369475,2976,True
2020-04-01 00:00:00+00:00,26328.64875505275,65.296277149,2880,281.02973489325,1255.83527758175,203.411287243,18446.15034868525,6142.2221066495,1536.865012475,203.411287243,24588.37245533475,2880,True
2020-05-01 00:00:00+00:00,30400.9894439275,74.764862129,2976,309.40909276825,1406.693677696,213.09741222925,22070.053110567,6401.736150667,1716.10277046425,213.09741222925,28471.789261234,2976,True
2020-06-01 00:00:00+00:00,27765.65509772675,70.177006715,2880,173.79481597175,1279.54014141025,212.42670366125,19890.9676602325,6208.925776451,1453.334957382,212.42670366125,26099.893436683502,2880,True
2020-07-01 00:00:00+00:00,29295.87609852225,67.903253224,2976,194.1920105495,1470.6790156225,433.74513026825,20312.96188048075,6884.29806160125,1664.871026172,433.74513026825,27197.259942082,2976,True
2020-08-01 00:00:00+00:00,36525.4946475485,84.63481657,2976,106.5214124945,1730.3225451475,485.358595738,27678.87562429925,6524.41646986925,1836.843957642,485.358595738,34203.2920941685,2976,True
2020-09-01 00:00:00+00:00,30919.37897605825,83.73439702000002,2880,96.87751882625,1524.7483484905,600.09107131425,22347.19437795,6350.46765947725,1621.62586731675,600.09107131425,28697.66203742725,2880,True
2020-10-01 00:00:00+00:00,29326.304170576,85.388041059,2976,196.87862076325,1602.536460556,606.595594314,20691.299526584,6228.99396835875,1799.41508131925,606.595594314,26920.29349494275,2976,True
2020-11-01 00:00:00+00:00,20918.76629411825,61.58882345199999,2880,44.57947362975,1147.1217344835,387.265016226,13134.766326068,6205.033743711,1191.70120811325,387.265016226,19339.800069779,2880,True
2020-12-01 00:00:00+00:00,21434.990156238,55.843930541000006,2976,147.87114952075,1260.85849367925,421.27458267125,13265.728435077,6339.25749528975,1408.7296431999998,421.27458267125,19604.98593036675,2976,True
