month,kwh,demand_kw,billed_demand_kw,cost_usd,days
2025-01,82032,299.4,299.4,7670.2,31
2025-02,76931,260.82,299.4,7412.63,28
2025-03,55885,212.52,299.4,6167.3,31
2025-04,48953,299.4,181.14,5500.89,30
2025-05,38307,299.4,152.4,5220.29,31
2025-06,33955,299.4,164.64,5482.07,30
2025-07,33538,299.4,160.14,5353.53,31
2025-08,32789,299.4,136.98,5342.35,31
2025-09,31350,299.4,133.74,4781.2,30
2025-10,32552,299.4,131.04,4390.17,31
2025-11,42097,299.4,166.98,5086.0,30
2025-12,67328,299.4,232.38,6683.62,31
2026-01,81491,284.82,284.82,8269.37,31
2026-02,67205,286.98,240.72,7774.96,29
2026-03,51938,286.98,218.94,6395.68,30
2026-04,42296,286.98,165.42,5201.86,30
2026-05,31398,286.98,128.1,4736.68,31
