account,billing_period,bill_begin,bill_end,meter_cost_usd,kwh,days,demand_kw,billed_demand_kw
CS 351075,202605,2026-05-01,2026-06-01,4736.68,31398,31,286.98,128.1
CS 351075,202604,2026-04-01,2026-05-01,5201.86,42296,30,286.98,165.42
CS 351075,202603,2026-03-02,2026-04-01,6395.68,51938,30,286.98,218.94
CS 351075,202602,2026-02-01,2026-03-02,7774.96,67205,29,286.98,240.72
CS 351075,202601,2026-01-01,2026-02-01,8269.37,81491,31,284.82,284.82
CS 351075,202512,2025-12-01,2026-01-01,6683.62,67328,31,299.4,232.38
CS 351075,202511,2025-11-01,2025-12-01,5086.0,42097,30,299.4,166.98
CS 351075,202510,2025-10-01,2025-11-01,4390.17,32552,31,299.4,131.04
CS 351075,202509,2025-09-01,2025-10-01,4781.2,31350,30,299.4,133.74
CS 351075,202508,2025-08-01,2025-09-01,5342.35,32789,31,299.4,136.98
CS 351075,202507,2025-07-01,2025-08-01,5353.53,33538,31,299.4,160.14
CS 351075,202506,2025-06-01,2025-07-01,5482.07,33955,30,299.4,164.64
CS 351075,202505,2025-05-01,2025-06-01,5220.29,38307,31,299.4,152.4
CS 351075,202504,2025-04-01,2025-05-01,5500.89,48953,30,299.4,181.14
CS 351075,202503,2025-03-01,2025-04-01,6167.3,55885,31,212.52,299.4
CS 351075,202502,2025-02-01,2025-03-01,7412.63,76931,28,260.82,299.4
CS 351075,202501,2025-01-01,2025-02-01,7670.2,82032,31,299.4,299.4
